entry_id	md5sum	file_name	dataset	dimension	published_value	inferred_value	recommendation	published_in_vocabulary
235c6f43-eb26-4f64-b96d-342830ddf844	afe365813c41607af976d7bfc1715eb1	LYAR-BGRSLV04-18_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
24c31859-2a07-4fee-983f-9386938f4f47	8292f3be75387a7bcd3c2eea213b31a4	ZNF593-BGRSLV08-35_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
27dea5be-220f-49a4-b909-deaa39cff94f	e3363cfd051a562d454d5b322d449555	CISD1-BGRSLV03-12_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2446be4c-ff6f-4d7e-b652-84d04c8a982e	65a96ee19d921af2471898b7a72d9aa8	SNRNP48-BGRSDLV04-35dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
25480ca2-8b9e-4847-b3c8-48a4f521595e	0ac399f1a785f3eaae398d86598b2280	YAF2-BGRSLV08-6_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2a46870c-ccb2-4849-843d-20d60e9a5e7e	bedfae19c56039752f6e9be7325d9bcb	ZNF800-BGRSLV02-42_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
26d91958-da43-4eee-a347-d13aaf36b677	c3c706e1313be2383102e6c57d3f100c	ZMAT3-BGRSDLV02-64dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2a7ed199-7f20-400e-b446-5fefe7f16bf0	2c970eba733dd47e01207cee6c14aa9b	CXXC1-BGRSLV03-19_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2bcf6539-1726-4240-a30c-db99b40c6cf0	6e8d974546699878bdfaa764d8feb601	ZNF473-BGRSDLV02-91dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2920137e-f76d-4272-a298-6b5ac63714a1	eaadca1cfb8553287bfb5b79ee4ba315	ZCCHC10-BGRSLV07-44_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2a00b42d-dd75-4d35-bfd4-c2ae48967e4a	4b13ee3d75cc9088afdb6d57b83e8c2f	PHF14-BGRSLV06-13_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2c31bfa8-1125-4d0c-9661-20974d12b514	004c3d26ea7b2ce0857992b4f85c47fb	UBR7-BGRSLV04-62_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
265ee01a-99f5-4550-8095-4632e412eb99	e56ed1132f66e53b47e6b7f52c4bdf4d	TRIM32-BGRSLV05-22_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2b7b298e-6252-44b4-9299-f013cd5347c8	c85f319f03ef00e4cb68e7e4203779f6	ZMAT5-BGRSLV03-55_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2c46594a-e9e5-45b1-a13f-4ca7ba449587	0472ab26533b82c460213ac0bd325519	RNF14-BGRSDLV03-35dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2c1b45fb-2d72-48fe-a391-775318889e2f	7ad12e2b215bf4ab86cb652d285ae21a	BRCA1-BGRSDLV02-10_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
2c612c86-df32-4557-af1a-3acf8c524271	cb00f8422e389bcdeb85d03210039654	RNF41-BGRSLV04-54_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
